EventID,EventType,StartDateTime,EndDateTime,Borough,Category,SubCategoryName
51694,Shooting Permit,03/30/2012 06:00:00 AM,03/30/2012 08:00:00 PM,Manhattan,Television,Cable-episodic
125801,Shooting Permit,10/18/2013 06:00:00 AM,10/18/2013 11:00:00 PM,Brooklyn,Television,Episodic series
172386,Shooting Permit,07/21/2014 06:00:00 AM,07/21/2014 11:00:00 PM,Brooklyn,Television,Cable-episodic
134384,Shooting Permit,12/16/2013 06:00:00 AM,12/16/2013 11:30:00 PM,Manhattan,Documentary,Not Applicable
52552,Shooting Permit,04/10/2012 07:00:00 AM,04/10/2012 09:00:00 PM,Brooklyn,Television,Episodic series
242624,Shooting Permit,08/28/2015 10:30:00 AM,08/29/2015 02:00:00 AM,Queens,Television,Episodic series
144077,Theater Load in and Load Outs,03/07/2014 12:01:00 AM,03/08/2014 06:00:00 AM,Manhattan,Theater,Theater
79884,Shooting Permit,12/07/2012 09:00:00 AM,12/08/2012 02:00:00 AM,Manhattan,Television,Episodic series
78158,Shooting Permit,11/25/2012 06:00:00 AM,11/25/2012 08:00:00 PM,Brooklyn,Film,Not Applicable
133760,Shooting Permit,12/11/2013 08:00:00 AM,12/11/2013 05:00:00 PM,Queens,Television,Reality
71442,Shooting Permit,09/10/2012 03:00:00 PM,09/10/2012 10:00:00 PM,Bronx,Still Photography,Not Applicable
341934,Shooting Permit,04/11/2017 09:00:00 AM,04/11/2017 06:00:00 PM,Manhattan,WEB,Not Applicable
121273,Shooting Permit,09/13/2013 06:00:00 PM,09/14/2013 08:00:00 AM,Manhattan,Commercial,Commercial
109106,Shooting Permit,06/26/2013 08:00:00 AM,06/27/2013 02:00:00 AM,Manhattan,Film,Feature
259632,Shooting Permit,12/21/2015 06:00:00 AM,12/21/2015 08:00:00 PM,Manhattan,Commercial,Commercial
216100,Shooting Permit,04/24/2015 01:00:00 PM,04/25/2015 03:00:00 AM,Queens,Television,Cable-episodic
214070,Shooting Permit,04/20/2015 08:00:00 AM,04/20/2015 08:00:00 PM,Manhattan,Still Photography,Not Applicable
216287,Shooting Permit,04/22/2015 06:00:00 AM,04/22/2015 10:00:00 PM,Manhattan,Commercial,Commercial
181445,Shooting Permit,09/19/2014 09:00:00 AM,09/19/2014 11:00:00 PM,Brooklyn,Television,Episodic series
92244,Shooting Permit,03/27/2013 04:00:00 PM,03/27/2013 11:00:00 PM,Queens,Television,Episodic series
253438,Shooting Permit,11/14/2015 12:00:00 AM,11/14/2015 02:00:00 PM,Manhattan,Television,News
448735,Theater Load in and Load Outs,11/23/2018 12:01:00 AM,11/23/2018 11:59:00 PM,Manhattan,Theater,Theater
78144,Shooting Permit,11/21/2012 02:00:00 AM,11/21/2012 07:00:00 PM,Manhattan,Television,Reality
255138,Shooting Permit,11/23/2015 02:00:00 PM,11/23/2015 10:00:00 PM,Brooklyn,Television,Pilot
77146,Shooting Permit,11/10/2012 12:00:00 AM,11/10/2012 06:00:00 PM,Manhattan,Television,Morning Show
125367,Shooting Permit,10/11/2013 03:00:00 PM,10/11/2013 09:00:00 PM,Queens,Film,Feature
115757,Shooting Permit,08/05/2013 07:00:00 AM,08/05/2013 09:00:00 PM,Manhattan,Still Photography,Not Applicable
222354,Shooting Permit,05/20/2015 12:00:00 AM,05/20/2015 11:59:00 PM,Manhattan,Television,Variety
122296,Shooting Permit,09/19/2013 11:00:00 AM,09/21/2013 01:00:00 AM,Queens,Film,Not Applicable
114560,Shooting Permit,07/29/2013 07:00:00 AM,07/29/2013 10:00:00 PM,Brooklyn,Television,Episodic series
207740,Shooting Permit,03/17/2015 07:00:00 AM,03/17/2015 10:00:00 PM,Brooklyn,Television,Episodic series
173432,Shooting Permit,07/25/2014 07:00:00 AM,07/25/2014 10:00:00 PM,Bronx,Film,Feature
140048,Shooting Permit,02/03/2014 12:01:00 AM,02/09/2014 11:59:00 PM,Manhattan,Theater,Theater
241261,Shooting Permit,08/20/2015 03:00:00 PM,08/21/2015 01:00:00 AM,Brooklyn,Television,Cable-episodic
247508,Shooting Permit,10/01/2015 06:00:00 AM,10/01/2015 07:00:00 PM,Manhattan,WEB,Not Applicable
198882,Shooting Permit,01/20/2015 07:00:00 AM,01/20/2015 09:00:00 PM,Queens,Television,Episodic series
90558,Shooting Permit,03/15/2013 11:00:00 AM,03/16/2013 03:00:00 AM,Queens,Television,Episodic series
78475,Shooting Permit,11/27/2012 03:00:00 PM,11/27/2012 10:00:00 PM,Manhattan,Film,Feature
73231,Shooting Permit,10/10/2012 08:00:00 AM,10/10/2012 12:00:00 PM,Manhattan,Television,Morning Show
377382,Shooting Permit,10/07/2017 07:00:00 AM,10/07/2017 07:00:00 PM,Manhattan,Television,Episodic series
88447,Shooting Permit,03/05/2013 07:00:00 AM,03/05/2013 11:59:00 PM,Brooklyn,Television,Cable-episodic
131056,Shooting Permit,11/25/2013 08:00:00 AM,11/25/2013 08:00:00 PM,Manhattan,Television,Episodic series
125990,Rigging Permit,10/20/2013 05:00:00 AM,10/20/2013 07:00:00 AM,Brooklyn,Television,Cable-episodic
134666,Rigging Permit,12/19/2013 07:00:00 AM,12/19/2013 05:00:00 PM,Queens,Film,Feature
265471,Shooting Permit,02/02/2016 01:00:00 AM,02/02/2016 07:00:00 PM,Manhattan,Commercial,Commercial
257436,Theater Load in and Load Outs,01/18/2016 09:00:00 AM,01/23/2016 05:00:00 PM,Manhattan,Theater,Theater
365811,Shooting Permit,07/29/2017 12:00:00 AM,07/29/2017 12:00:00 PM,Manhattan,Television,News
298536,Rigging Permit,07/13/2016 09:00:00 AM,07/13/2016 07:00:00 PM,Manhattan,Television,News
250314,Shooting Permit,10/26/2015 07:00:00 AM,10/26/2015 10:00:00 PM,Manhattan,Television,Episodic series
125724,Theater Load in and Load Outs,11/12/2013 06:00:00 AM,11/14/2013 06:00:00 PM,Manhattan,Television,Special/Awards Show
248120,Rigging Permit,10/06/2015 07:00:00 AM,10/06/2015 07:00:00 PM,Manhattan,Television,Episodic series
207253,Shooting Permit,03/16/2015 06:00:00 AM,03/16/2015 11:59:00 PM,Brooklyn,Television,Cable-episodic
80988,Theater Load in and Load Outs,12/18/2012 05:00:00 AM,12/18/2012 11:59:00 PM,Manhattan,Theater,Theater
242607,Shooting Permit,08/29/2015 03:00:00 AM,08/29/2015 11:00:00 AM,Manhattan,Television,News
78136,Shooting Permit,11/20/2012 06:00:00 AM,11/20/2012 10:00:00 PM,Brooklyn,Film,Feature
190452,Shooting Permit,11/20/2014 07:00:00 AM,11/20/2014 11:00:00 PM,Manhattan,Television,Episodic series
153760,Shooting Permit,04/25/2014 12:00:00 PM,04/26/2014 03:00:00 AM,Manhattan,Television,Cable-episodic
215566,Shooting Permit,04/18/2015 06:00:00 AM,04/18/2015 09:00:00 PM,Manhattan,Film,Feature
54079,Theater Load in and Load Outs,04/24/2012 12:01:00 AM,04/25/2012 06:00:00 AM,Manhattan,Theater,Theater
101939,Shooting Permit,05/19/2013 06:00:00 AM,05/19/2013 09:00:00 PM,Queens,Film,Feature
167505,Shooting Permit,06/24/2014 06:00:00 AM,06/24/2014 10:00:00 PM,Manhattan,Television,Reality
106371,Shooting Permit,06/08/2013 06:00:00 AM,06/08/2013 07:00:00 PM,Manhattan,Still Photography,Not Applicable
244690,Shooting Permit,09/16/2015 12:01:00 AM,09/22/2015 11:59:00 PM,Manhattan,Television,Not Applicable
184139,Shooting Permit,10/07/2014 03:00:00 PM,10/07/2014 06:00:00 PM,Manhattan,Television,Cable-daily
44340,Shooting Permit,01/18/2012 10:00:00 AM,01/28/2012 10:00:00 PM,Brooklyn,Film,Not Applicable
133236,Shooting Permit,12/09/2013 04:00:00 AM,12/10/2013 06:30:00 PM,Manhattan,Television,News
77968,Shooting Permit,11/21/2012 06:00:00 AM,11/21/2012 08:00:00 PM,Queens,Film,Feature
102866,Shooting Permit,05/21/2013 08:00:00 AM,05/21/2013 11:00:00 PM,Brooklyn,Film,Feature
180841,Shooting Permit,09/14/2014 06:00:00 AM,09/14/2014 07:00:00 PM,Staten Island,Film,Not Applicable
77568,Shooting Permit,11/17/2012 06:00:00 AM,11/17/2012 09:00:00 PM,Manhattan,Television,Pilot
119750,Rigging Permit,09/01/2013 08:00:00 AM,09/02/2013 10:00:00 PM,Manhattan,Television,Game show
174122,Shooting Permit,07/30/2014 11:00:00 AM,07/31/2014 01:00:00 AM,Brooklyn,Television,Episodic series
210177,Shooting Permit,03/28/2015 08:00:00 AM,03/28/2015 08:30:00 PM,Queens,Film,Short
192512,Shooting Permit,12/08/2014 07:00:00 AM,12/08/2014 09:00:00 PM,Brooklyn,Television,Episodic series
50188,Shooting Permit,03/26/2012 03:00:00 AM,03/26/2012 08:00:00 PM,Manhattan,Film,Not Applicable
220319,Shooting Permit,05/11/2015 06:00:00 AM,05/11/2015 08:00:00 PM,Staten Island,Film,Feature
141213,Theater Load in and Load Outs,02/11/2014 05:00:00 AM,02/12/2014 11:59:00 PM,Manhattan,Theater,Theater
137883,Shooting Permit,01/20/2014 06:00:00 AM,01/20/2014 11:00:00 PM,Queens,Television,Episodic series
218263,Shooting Permit,05/01/2015 12:00:00 PM,05/02/2015 02:00:00 AM,Manhattan,Film,Feature
283461,Shooting Permit,05/09/2016 09:00:00 AM,05/09/2016 11:00:00 PM,Manhattan,Film,Feature
249050,Shooting Permit,10/23/2015 07:00:00 AM,10/23/2015 11:00:00 PM,Brooklyn,WEB,Not Applicable
188196,Shooting Permit,11/11/2014 04:00:00 AM,11/11/2014 10:00:00 AM,Manhattan,Television,News
52114,Shooting Permit,04/03/2012 07:00:00 AM,04/03/2012 07:00:00 PM,Brooklyn,Television,Episodic series
164521,Shooting Permit,06/09/2014 06:00:00 AM,06/09/2014 06:00:00 PM,Brooklyn,Television,Cable-episodic
110572,Shooting Permit,06/28/2013 07:00:00 AM,06/28/2013 08:00:00 PM,Manhattan,Commercial,Promo
70158,Shooting Permit,08/27/2012 06:00:00 AM,08/27/2012 09:00:00 PM,Manhattan,Film,Feature
185545,Shooting Permit,10/22/2014 08:00:00 AM,10/22/2014 11:00:00 PM,Manhattan,Television,Episodic series
200703,Shooting Permit,02/03/2015 07:00:00 AM,02/03/2015 11:00:00 PM,Manhattan,Television,Cable-episodic
297522,Shooting Permit,06/30/2016 07:00:00 AM,07/01/2016 03:00:00 AM,Queens,Television,Episodic series
126317,Shooting Permit,10/21/2013 07:00:00 AM,10/21/2013 10:00:00 PM,Brooklyn,Film,Feature
191841,Shooting Permit,12/04/2014 06:00:00 AM,12/04/2014 10:00:00 PM,Brooklyn,Television,Cable-episodic
186825,Shooting Permit,11/05/2014 11:00:00 AM,11/06/2014 03:00:00 AM,Queens,Television,Made for TV/mini-series
191843,Shooting Permit,12/02/2014 11:00:00 AM,12/03/2014 12:30:00 PM,Manhattan,Television,Special/Awards Show
221951,Shooting Permit,05/19/2015 05:00:00 AM,05/19/2015 08:00:00 PM,Manhattan,WEB,Not Applicable
249686,Shooting Permit,10/20/2015 01:00:00 PM,10/20/2015 07:30:00 PM,Brooklyn,WEB,Not Applicable
198623,Shooting Permit,01/23/2015 08:00:00 AM,01/23/2015 10:00:00 PM,Brooklyn,Television,Episodic series
143740,Shooting Permit,03/03/2014 06:00:00 AM,03/03/2014 11:00:00 PM,Queens,Television,Episodic series
251284,Shooting Permit,11/03/2015 06:00:00 AM,11/03/2015 07:00:00 PM,Queens,Television,Episodic series
222718,Shooting Permit,05/20/2015 06:00:00 AM,05/20/2015 10:00:00 PM,Manhattan,Television,Cable-episodic
56987,Shooting Permit,05/09/2012 06:00:00 AM,05/09/2012 09:00:00 PM,Manhattan,Commercial,Commercial
205853,Shooting Permit,03/05/2015 03:00:00 PM,03/06/2015 06:00:00 AM,Manhattan,Film,Feature
184269,Shooting Permit,10/09/2014 06:00:00 AM,10/09/2014 11:00:00 PM,Manhattan,Television,Episodic series
82606,Shooting Permit,01/09/2013 12:00:00 PM,01/09/2013 11:00:00 PM,Manhattan,Television,Special/Awards Show
112341,Shooting Permit,07/11/2013 08:00:00 AM,07/11/2013 11:59:00 AM,Queens,Television,Episodic series
174914,Shooting Permit,08/02/2014 12:00:00 PM,08/02/2014 11:00:00 PM,Brooklyn,Film,Short
50569,Shooting Permit,03/22/2012 06:00:00 AM,03/22/2012 04:00:00 PM,Brooklyn,Television,Reality
79359,Shooting Permit,12/03/2012 06:00:00 AM,12/03/2012 11:00:00 PM,Bronx,Film,Feature
133586,Shooting Permit,12/11/2013 04:00:00 PM,12/12/2013 07:00:00 AM,Queens,Film,Feature
125722,Shooting Permit,10/17/2013 12:00:00 PM,10/18/2013 04:00:00 AM,Queens,Television,Episodic series
179468,Shooting Permit,09/08/2014 07:00:00 AM,09/08/2014 09:00:00 PM,Brooklyn,Television,Episodic series
